SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
ELISPOT assay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|ELISPOT	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific IP-10 production by T cells	CXCL10/IP-10 release|cytometric bead array	An assay of epitope specific IP-10 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific IP-10 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-27 production by T cells	IL-27 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-27 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-27 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|RNA/DNA detection	An assay of epitope specific transforming growth factor-beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|ELISPOT	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-10 production by T cells	IL-10 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-10 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-10 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|cytometric bead array	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular material detection assay measuring epitope specific perforin release	perforin release|intracellular staining	A T cell epitope specific perforin release assay that uses an intracellular material detection by flow cytometry assay.	equivalent to	biological activity assay measuring epitope specific perforin release by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interleukin-2 production by T cells	IL-2 release|bioassay	An assay of epitope specific interleukin-2 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-2 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-22 production by T cells	IL-22 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-22 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-22 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-8 production by T cells	IL-8 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-8 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-8 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interleukin-10 production by T cells	IL-10 release|bioassay	An assay of epitope specific interleukin-10 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-10 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific RANTES production by T cells	CCL5/RANTES release|ELISA	An assay of epitope specific RANTES production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific RANTES production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|cytometric bead array	An assay of epitope specific interleukin-1 beta production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-6 production by T cells	IL-6 release|ELISPOT	An assay of epitope specific interleukin-6 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-6 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific helper T cell enhancement of a B cell mediated immune response	antibody help|biological activity	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance an antibody response.	subclass of	biological activity assay measuring epitope specific T cell helper activity										IEDB	IEDB
plasmon resonance assay measuring the dissociation constant [KD] of a T cell epitope:MHC:TCR complex	dissociation constant KD|surface plasmon resonance (SPR)|nM	A T cell epitope equilibrium dissociation constant (KD) determination assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring a binding constant of a T cell epitope:MHC:TCR complex	surface plasmon resonance binding assay								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-5 production by T cells	IL-5 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-5 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-5 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|ELISA	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific RANTES production by T cells	CCL5/RANTES release|biological activity	A T cell epitope specific cytokine production assay that detects RANTES production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 5 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	GM-CSF release|biological activity	A T cell epitope specific cytokine production assay that detects granulocyte macrophage colony stimulating factor production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					granulocyte macrophage colony-stimulating factor production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-22 production by T cells	IL-22 release|ELISA	An assay of epitope specific interleukin-22 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-22 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-21 production by T cells	IL-21 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-21 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-21 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-9 production by T cells	IL-9 release|ELISA	An assay of epitope specific interleukin-9 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring interleukin-9 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-6 production by T cells	IL-6 release|ICS	An assay of epitope specific interleukin-6 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-6 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interleukin-4 production by T cells	IL-4 release|bioassay	An assay of epitope specific interleukin-4 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-4 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific tumor necrosis factor production by T cells	TNFa release|RNA/DNA detection	A T cell epitope specific tumor necrosis factor production assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	CCL2/MCP-1 release|cytometric bead array	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-23 production by T cells	IL-23 release|ELISA	An assay of epitope specific interleukin-23 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-23 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific perforin release	perforin release|RNA/DNA detection	A T cell epitope specific perforin release assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific perforin release by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	TNF release|ELISA	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-13 production by T cells	IL-13 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-13 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-13 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring interleukin-9 production by T cells	IL-9 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-9 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-9 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-5 production by T cells	IL-5 release|RNA/DNA detection	An assay of epitope specific interleukin-5 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-3 production by T cells	IL-3 release|ELISA	An assay of epitope specific interleukin-3 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-3 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-1 alpha production by T cells	IL-1a release|ELISA	An assay of epitope specific interleukin-1 alpha production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific helper T cell enhancement of a T cell mediated immune response	T cell help|biological activity	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance a T cell response.	equivalent to	biological activity assay measuring epitope specific T cell helper activity					helper T cell enhancement of T cell mediated immune response		helper T cell enhancement of T cell mediated immune response			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|biological activity	A T cell epitope specific cytokine production assay that detects transforming growth factor-beta production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					transforming growth factor beta production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-12 production by T cells	IL-12 release|RNA/DNA detection	An assay of epitope specific interleukin-12 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-12 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific cytotoxic T cell degranulation	degranulation|biological activity	A T cell epitope dependent biological activity assay that detects cytotoxic T cell degranulation.	equivalent to	assay measuring T cell epitope specific biological activity					cytotoxic T cell degranulation					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific transforming growth factor-beta production by T cells	TGFb release|bioassay	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	TNF release|ELISPOT	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interleukin-5 production by T cells	IL-5 release|bioassay	An assay of epitope specific interleukin-5 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|biological activity	A T cell epitope specific cytokine production assay that detects production of chemokine (C-C motif) ligand 1 by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 1 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-2 production by T cells	IL-2 release|RNA/DNA detection	An assay of epitope specific interleukin-2 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-2 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-22 production by T cells	IL-22 release|RNA/DNA detection	An assay of epitope specific interleukin-22 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-22 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-16 production by T cells	IL-16 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-16 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-16 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific IP-10 production by T cells	CXCL10/IP-10 release|ELISA	An assay of epitope specific IP-10 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific IP-10 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-15 production by T cells	IL-15 release|ELISA	An assay of epitope specific interleukin-15 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-15 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-12 production by T cells	IL-12 release|cytometric bead array	An assay of epitope specific interleukin-12 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-12 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|ELISA	An assay of epitope specific lymphotoxin A production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific lymphotoxin A production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-5 production by T cells	IL-5 release|cytometric bead array	An assay of epitope specific interleukin-5 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17 production by T cells	IL-17 release|RNA/DNA detection	An assay of epitope specific interleukin-17 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-15 production by T cells	IL-15 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-15 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-15 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-17 production by T cells	IL-17 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-17 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-17 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-17 production by T cells	IL-17 release|cytometric bead array	An assay of epitope specific interleukin-17 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-10 production by T cells	IL-10 release|cytometric bead array	An assay of epitope specific interleukin-10 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-10 production by T cells	cytometric bead array assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-21 production by T cells	IL-21 release|RNA/DNA detection	An assay of epitope specific interleukin-21 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-21 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-5 production by T cells	IL-5 release|ICS	An assay of epitope specific interleukin-5 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-5 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-2 production by T cells	IL-2 release|cytometric bead array	An assay of epitope specific interleukin-2 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-2 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
